entity_id;name;area;device;state;unit
automation.air_purifier_pause_on_open_window;Air purifier pause on open window;;;on;
automation.air_purifier_resume_on_closed_window;Air purifier resume on closed window;;;on;
automation.front_door_opener_failsafe_off;Front door opener failsafe off;;;on;
binary_sensor.ariana_beleuchtungs_benachrichtigung;Beleuchtungs-Benachrichtigung;lea_room;fyta_g1_03;not_loaded;
binary_sensor.ariana_nahrstoff_benachrichtigung;Nährstoff-Benachrichtigung;lea_room;fyta_g1_03;not_loaded;
binary_sensor.ariana_temperatur_benachrichtigung;Temperatur-Benachrichtigung;lea_room;fyta_g1_03;not_loaded;
binary_sensor.ariana_wasser_benachrichtigung;Wasser-Benachrichtigung;lea_room;fyta_g1_03;not_loaded;
binary_sensor.bathroom_water_leak;thirdreality_waterleak_05 Feuchte;bathroom;thirdreality_waterleak_05;off;
binary_sensor.bathroom_window_north_contact;shelly_dw_03 Fenster;bathroom;shelly_dw_03;on;
binary_sensor.bedroom_condensation_risk;Bedroom Condensation Risk;;;off;
binary_sensor.bedroom_mold_risk;Bedroom Mold Risk;;;off;
binary_sensor.bedroom_ventilation_recommended;Bedroom Ventilation Recommended;;;on;
binary_sensor.bedroom_window_north_contact;shelly_dw_01 Fenster;bedroom;shelly_dw_01;on;
binary_sensor.boiler_room_synology_ds225_01_drive1_max_fehlerhafte_sektoren_uberschritten;synology_ds225_01_drive1 Max. fehlerhafte Sektoren überschritten;boiler_room;synology_ds225_01_drive1;off;
binary_sensor.boiler_room_synology_ds225_01_drive1_unterhalb_der_mindestrestlebensdauer;synology_ds225_01_drive1 Unterhalb der Mindestrestlebensdauer;boiler_room;synology_ds225_01_drive1;off;
binary_sensor.boiler_room_synology_ds225_01_drive2_max_fehlerhafte_sektoren_uberschritten;synology_ds225_01_drive2 Max. fehlerhafte Sektoren überschritten;boiler_room;synology_ds225_01_drive2;off;
binary_sensor.boiler_room_synology_ds225_01_drive2_unterhalb_der_mindestrestlebensdauer;synology_ds225_01_drive2 Unterhalb der Mindestrestlebensdauer;boiler_room;synology_ds225_01_drive2;off;
binary_sensor.boiler_room_synology_ds225_01_sicherheitsstatus;synology_ds225_01 Sicherheitsstatus;boiler_room;synology_ds225_01;off;
binary_sensor.bthome_sensor_aeac_fenster;shelly_dw_05 Fenster;anna_room;shelly_dw_05;off;
binary_sensor.bthome_sensor_f2ba_fenster;shelly_dw_04 Fenster;lea_room;shelly_dw_04;off;
binary_sensor.bthome_sensor_f3b0_fenster;shelly_dw_06 Fenster;anna_room;shelly_dw_06;off;
binary_sensor.bthome_sensor_fae8_fenster;shelly_dw_02 Fenster;toilet;shelly_dw_02;off;
binary_sensor.esphome_device_builder_aktiv;Aktiv;;ESPHome Device Builder;not_loaded;
binary_sensor.handy_claudia_android_auto;Android Auto;;handy-claudia;not_loaded;
binary_sensor.handy_claudia_app_inactive;App inactive;;handy-claudia;not_loaded;
binary_sensor.handy_claudia_bluetooth_state;Bluetooth state;;handy-claudia;not_loaded;
binary_sensor.handy_claudia_device_locked;Device locked;;handy-claudia;not_loaded;
binary_sensor.handy_claudia_device_secure;Device secure;;handy-claudia;not_loaded;
binary_sensor.handy_claudia_doze_mode;Doze mode;;handy-claudia;not_loaded;
binary_sensor.handy_claudia_headphones;Headphones;;handy-claudia;not_loaded;
binary_sensor.handy_claudia_hotspot_state;Hotspot state;;handy-claudia;not_loaded;
binary_sensor.handy_claudia_interactive;Interactive;;handy-claudia;not_loaded;
binary_sensor.handy_claudia_is_charging;Is charging;;handy-claudia;not_loaded;
binary_sensor.handy_claudia_keyguard_locked;Keyguard locked;;handy-claudia;not_loaded;
binary_sensor.handy_claudia_keyguard_secure;Keyguard secure;;handy-claudia;not_loaded;
binary_sensor.handy_claudia_mic_muted;Mic muted;;handy-claudia;not_loaded;
binary_sensor.handy_claudia_mobile_data;Mobile data;;handy-claudia;not_loaded;
binary_sensor.handy_claudia_mobile_data_roaming;Mobile data roaming;;handy-claudia;not_loaded;
binary_sensor.handy_claudia_music_active;Music active;;handy-claudia;not_loaded;
binary_sensor.handy_claudia_nfc_state;NFC state;;handy-claudia;not_loaded;
binary_sensor.handy_claudia_power_save;Power save;;handy-claudia;not_loaded;
binary_sensor.handy_claudia_speakerphone;Speakerphone;;handy-claudia;not_loaded;
